gene	C0	C12	C24	C36	C48	C60	C72	C84	C96	C120	C168	C216	CC12	CC24	CC36	CC48	CC60	CC72	CC84	CC96	CC120	CC168	CC216	CD0	CD12	CD24	CD36	CD48	CD60	CD72	CD84	CD96	CD120	CD168	CD216	D0	D12	D24	D36	D48	D60	D72	D84	D96	D120	D168	D216	DD12	DD24	DD36	DD48	DD60	DD72	DD84	DD96	DD120	DD168	DD216
Acetyl-CoA	68.56507382998656	68.92127206887304	27.698419886991967	28.628600274143896	25.068085941327467	24.839467392192134	26.6397055658099	53.53237192727986	39.94040371752177	37.46303818268424	72.1606228424357	80.53572914968936	76.9900344133866	66.94211547088757	57.971054675595205	54.85836304702667	42.692312732159394	42.937615134762204	53.176988865243835	51.33127211090127	48.29238273471793	81.91020940885001	96.15254140613416	54.0830350890429	59.7526371420397	53.555637437176564	48.32035707402027	49.27772580267023	43.69982101353737	41.245759255683204	38.23057440925807	43.39696853792916	50.228037801092505	76.20087175764768	79.00711284697037	54.65941037428497	34.708016208014705	22.72453251448913	21.547330813647932	21.056851326088566	17.5986155932627	23.600421715291002	38.63222988217637	28.070059083824166	33.08770491736617	54.247581820749964	60.66871122615643	60.188245488123236	50.96451028817527	45.93146553083784	54.3220932542357	36.83046460379007	31.769402280096397	37.10614617626526	47.758631051235874	46.95203915003054	77.65853111814972	60.6369374736715
SlACS1	28.903333333333336	47.05666666666667	32.373333333333335	42.24666666666667	39.21666666666667	50.1	40.95333333333333	36.89666666666667	37.333333333333336	35.656666666666666	25.939999999999998	32.68333333333333	36.97	35.303333333333335	45.24333333333333	41.71333333333333	44.77333333333333	47.093333333333334	42.949999999999996	32.56666666666667	31.73	21.343333333333334	29.846666666666664	28.919999999999998	36.98	33.449999999999996	41.25333333333333	39.199999999999996	48.076666666666675	34.86	40.656666666666666	27.546666666666667	33.63	25.86	32.156666666666666	37.11666666666667	50.57666666666666	45.379999999999995	47.54333333333333	51.07333333333333	56.303333333333335	50.669999999999995	50.050000000000004	41.233333333333334	40.35333333333333	31.53333333333333	31.096666666666664	40.123333333333335	38.71333333333333	45.39000000000001	41.553333333333335	47.52	42.053333333333335	40.38666666666666	32.39333333333333	31.95	26.136666666666667	31.036666666666665
SlACS2	21.166666666666668	32.830000000000005	20.5	12.26	7.510000000000001	7.993333333333333	5.419999999999999	18.38	13.403333333333334	14.653333333333334	42.10666666666666	34.446666666666665	16.74	21.346666666666664	20.096666666666668	17.713333333333335	15.196666666666667	11.743333333333334	19.103333333333335	19.37	20.106666666666666	35.43666666666667	26.426666666666666	22.19333333333333	20.226666666666667	20.73	20.91	17.78	18.763333333333332	15.853333333333333	21.606666666666666	19.516666666666666	18.763333333333332	33.43	24.98	18.99	14.590000000000002	10.383333333333333	10.626666666666667	8.326666666666666	5.906666666666666	5.173333333333333	17.05333333333333	13.709999999999999	16.616666666666667	27.680000000000003	32.25333333333333	23.19333333333333	21.183333333333334	19.743333333333336	17.856666666666666	17.013333333333332	15.1	16.2	17.44666666666667	16.533333333333335	27.42	25.650000000000002
SlB3.1	6.010000000000001	21.91	4.97	5.266666666666667	0.5566666666666666	1.0166666666666666	0.5766666666666667	9.49	4.66	5.176666666666667	15.13	20.86	12.506666666666668	6.6000000000000005	12.366666666666667	6.896666666666666	8.5	4.523333333333333	15.219999999999999	14.1	15.163333333333332	14.676666666666668	13.74	5.636666666666667	13.013333333333334	6.943333333333334	10.763333333333334	5.87	9.813333333333333	6.613333333333333	16.41333333333333	8.88	8.743333333333334	13.01	17.456666666666667	4.6066666666666665	6.196666666666666	1.29	2.8666666666666667	1.1833333333333333	0.7266666666666667	0.73	8.136666666666667	3.83	3.5199999999999996	8.56	15.323333333333332	12.343333333333334	7.176666666666667	9.483333333333333	6.916666666666667	9.416666666666666	5.576666666666667	10.846666666666666	9.383333333333333	8.826666666666666	10.35	12.62
SlB3.5	12.25	13.016666666666666	10.946666666666667	20.043333333333333	19.703333333333333	23.650000000000002	21.473333333333333	20.203333333333333	18.01	18.613333333333333	9.376666666666667	10.676666666666668	12.286666666666667	11.35	14.69	14.206666666666665	15.153333333333334	16.27	13.566666666666665	12.346666666666666	14.756666666666668	9.466666666666667	8.020000000000001	8.780000000000001	11.646666666666667	12.103333333333333	15.263333333333334	15.07	16.763333333333332	13.813333333333333	14.176666666666668	12.13	13.033333333333333	8.653333333333334	12.256666666666666	11.956666666666669	19.916666666666668	18.71	21.67	20.04	23.22666666666667	20.063333333333333	19.783333333333335	17.793333333333333	16.44666666666667	11.166666666666666	11.333333333333334	12.19	11.773333333333333	15.956666666666669	14.983333333333334	14.843333333333334	13.943333333333333	14.456666666666665	12.280000000000001	13.246666666666668	9.57	9.776666666666666
SlB3.6	6.026666666666666	13.549999999999999	3.57	1.3333333333333333	0.2333333333333333	1.18	0.32666666666666666	10.156666666666666	5.103333333333333	4.09	15.160000000000002	10.75	25.513333333333335	31.313333333333333	44.97666666666667	37.60333333333333	33.82	15.046666666666667	42.75	33.73666666666667	31.936666666666667	20.08	11.94	6.126666666666666	30.98333333333333	29.903333333333332	48.49	32.17333333333334	51.653333333333336	31.496666666666666	58.85333333333333	34.78333333333333	32.21666666666667	22.169999999999998	23.886666666666667	4.73	7.140000000000001	1.51	2.8000000000000003	1.2566666666666666	0.5166666666666667	0.34	9.68	4.596666666666667	4.163333333333333	10.046666666666667	11.356666666666667	24.433333333333334	34.06333333333333	51.77666666666667	44.916666666666664	50.02	34.47	47.03	35.82	27.11	15.613333333333332	18.786666666666665
SlB3.7	3.203333333333333	4.19	2.5466666666666664	1.6533333333333333	1.1533333333333333	1.05	1.2300000000000002	2.203333333333333	1.7633333333333334	1.9666666666666668	5.43	3.0966666666666662	2.6233333333333335	2.4566666666666666	2.486666666666667	1.5999999999999999	2.276666666666667	1.3833333333333335	2.6333333333333333	2.83	4.3999999999999995	3.686666666666667	2.5033333333333334	2.58	2.6266666666666665	2.2600000000000002	2.11	1.7299999999999998	1.8766666666666667	1.6033333333333335	3.2566666666666664	2.28	3.216666666666667	2.6566666666666667	2.69	2.1166666666666667	1.4366666666666665	0.6233333333333334	0.8466666666666667	0.7166666666666667	0.45999999999999996	0.49666666666666665	1.3833333333333335	1.2166666666666666	1.6733333333333331	2.9766666666666666	2.3466666666666667	2.2399999999999998	1.7966666666666666	2.3233333333333333	1.8933333333333333	1.8499999999999999	1.8566666666666667	3.146666666666667	1.9866666666666666	2.0766666666666667	2.6833333333333336	1.9366666666666665
SlB3.8	27.709999999999997	32.96666666666667	29.986666666666665	55.79333333333333	41.39666666666667	74.32333333333334	71.01333333333334	47.919999999999995	47.04666666666666	47.73333333333333	25.333333333333332	26.236666666666668	36.25	44.403333333333336	66.87666666666667	66.18333333333332	57.46666666666667	66.58666666666666	57.086666666666666	45.45333333333334	49.60333333333333	29.276666666666667	23.73	29.836666666666662	57.51666666666667	53.32666666666666	65.24	76.83333333333333	80.18333333333334	63.596666666666664	66.22333333333334	51.42666666666667	51.330000000000005	24.833333333333332	37.26	56.19333333333333	77.35000000000001	73.11666666666667	83.57333333333334	78.66333333333334	125.91000000000001	83.07	66.72666666666667	49.97666666666667	48.95666666666667	28.37	26.173333333333332	50.6	51.413333333333334	82.81333333333333	79.89999999999999	92.33333333333333	78.08333333333333	64.70666666666666	46.669999999999995	42.24666666666667	21.5	30.766666666666666
SlERF1	6.053333333333334	10.976666666666667	5.083333333333333	3.03	1.9400000000000002	1.21	1.0533333333333335	6.153333333333333	5.926666666666667	5.053333333333334	8.253333333333334	12.216666666666667	6.830000000000001	7.666666666666667	8.356666666666667	8.99	8.813333333333333	5.239999999999999	14.020000000000001	10.983333333333334	10.483333333333334	16.42	9.360000000000001	5.239999999999999	10.19	7.776666666666666	9.576666666666666	9.403333333333334	10.956666666666665	11.166666666666666	17.316666666666666	15.770000000000001	13.686666666666667	22.403333333333336	14.770000000000001	3.986666666666667	7.03	1.96	3.22	2.0566666666666666	1.08	2.26	8.76	5.866666666666667	7.636666666666667	8.566666666666668	12.326666666666666	12.133333333333333	13.9	13.213333333333333	14.4	13.483333333333334	14.39	16.223333333333333	19.13	13.623333333333333	13.276666666666666	15.270000000000001
SlERF11	1.8033333333333335	1.8833333333333335	1.5566666666666666	0.4366666666666667	0.24333333333333332	0.25666666666666665	0.3666666666666667	0.75	0.9233333333333333	0.8033333333333333	1.7566666666666666	1.0966666666666667	1.3566666666666667	1.2933333333333332	0.89	1.1566666666666665	0.9666666666666667	0.7933333333333333	1.5400000000000003	1.4366666666666668	2.3633333333333333	3.0533333333333332	1.5999999999999999	1.0066666666666666	0.7166666666666667	0.89	0.9366666666666666	0.7966666666666667	1.29	1.2366666666666666	1.4266666666666667	2.2033333333333336	1.54	1.6866666666666665	0.7966666666666665	0.4266666666666667	0.30333333333333334	0.21333333333333335	0.23666666666666666	0.34	0.08666666666666667	0.1366666666666667	0.4433333333333333	0.7533333333333333	1.02	1.1133333333333333	0.8966666666666668	0.6033333333333334	0.8733333333333334	0.9466666666666667	1.0066666666666666	1.1333333333333333	1.2933333333333332	1.0466666666666666	1.5566666666666666	1.8733333333333333	1.26	1.79
