"","gene","cluster"
"183","Solyc05g018060.1",1
"184","Solyc05g041200.4",1
"185","Solyc05g048810.4",1
"186","Solyc05g050330.3",1
"187","Solyc05g050360.3",1
"188","Solyc05g051900.3",1
"189","Solyc05g053500.4",1
"190","Solyc05g053760.4",1
"191","Solyc05g054170.4",1
"192","Solyc06g007180.3",1
"193","Solyc06g007430.3",1
"194","Solyc06g007510.3",1
"195","Solyc06g007660.2",1
"196","Solyc06g008750.1",1
"197","Solyc06g008930.3",1
"198","Solyc06g011380.2",1
"199","Solyc06g011400.2",1
"200","Solyc06g011590.3",1
"201","Solyc06g036110.1",1
"202","Solyc06g048530.4",1
"203","Solyc06g048820.1",1
"204","Solyc06g050710.4",1
"205","Solyc06g051230.4",1
"206","Solyc06g051970.3",1
"207","Solyc06g053220.3",1
"208","Solyc06g053450.4",1
"209","Solyc06g053930.3",1
"210","Solyc06g054580.4",1
"211","Solyc06g060950.1",1
"212","Solyc06g061240.4",1
"213","Solyc06g063000.3",1
"214","Solyc06g063070.3",1
"215","Solyc06g064760.2",1
"216","Solyc06g066680.3",1
"217","Solyc06g068860.3",1
"218","Solyc06g071830.2",1
"219","Solyc06g071890.3",1
"220","Solyc06g071900.3",1
"221","Solyc06g072360.3",1
"222","Solyc06g073840.3",1
"223","Solyc06g075050.2",1
"224","Solyc06g075440.3",1
"225","Solyc06g082590.1",1
"226","Solyc06g083520.3",1
"227","Solyc06g084770.2",1
"228","Solyc06g150115.1",1
"229","Solyc07g006420.1",1
"230","Solyc07g006500.3",1
"231","Solyc07g006650.4",1
"232","Solyc07g007400.3",1
"233","Solyc07g007410.4",1
"234","Solyc07g007420.3",1
"235","Solyc07g007930.3",1
"236","Solyc07g008750.4",1
"237","Solyc07g017610.3",1
"238","Solyc07g021630.3",1
"239","Solyc07g026680.2",1
"240","Solyc07g043550.3",1
"241","Solyc07g052560.3",1
"242","Solyc07g054370.3",1
"243","Solyc07g055470.3",1
"244","Solyc07g061740.4",1
"245","Solyc07g061940.4",1
"246","Solyc07g062070.3",1
"247","Solyc07g063420.3",1
"248","Solyc07g063560.4",1
"249","Solyc07g066330.3",1
"250","Solyc08g006330.3",1
"251","Solyc08g007480.2",1
"252","Solyc08g007540.3",1
"253","Solyc08g013740.4",1
"254","Solyc08g016500.3",1
"255","Solyc08g048460.2",1
"256","Solyc08g062610.4",1
"257","Solyc08g067650.2",1
"258","Solyc08g067960.3",1
"259","Solyc08g069060.4",1
"260","Solyc08g069231.1",1
"261","Solyc08g075020.3",1
"262","Solyc08g076670.3",1
"263","Solyc08g076730.4",1
"264","Solyc08g076830.1",1
"265","Solyc08g077450.4",1
"266","Solyc08g077730.3",1
"267","Solyc08g077900.3",1
"268","Solyc08g078330.4",1
"269","Solyc08g078460.3",1
"270","Solyc08g080360.3",1
"271","Solyc08g080380.4",1
"272","Solyc08g081400.4",1
"273","Solyc08g082680.3",1
"274","Solyc09g005200.3",1
"275","Solyc09g005620.4",1
"276","Solyc09g005760.3",1
"277","Solyc09g007840.3",1
"278","Solyc09g007870.3",1
"279","Solyc09g008430.4",1
"280","Solyc09g008820.3",1
"281","Solyc09g009490.4",1
"282","Solyc09g010000.4",1
"283","Solyc09g010240.3",1
"284","Solyc09g010250.1",1
"285","Solyc09g011710.4",1
"286","Solyc09g013120.4",1
"287","Solyc09g014990.4",1
"288","Solyc09g042660.4",1
"289","Solyc09g042665.1",1
"290","Solyc09g059020.4",1
"291","Solyc09g064910.1",1
"292","Solyc09g065000.4",1
"293","Solyc09g065387.1",1
"294","Solyc09g065540.3",1
"295","Solyc09g074730.3",1
"296","Solyc09g075140.3",1
"297","Solyc09g089650.1",1
"298","Solyc09g089710.3",1
"299","Solyc09g089720.3",1
"300","Solyc09g089790.3",1
"301","Solyc09g089880.3",1
"302","Solyc09g090970.4",1
"303","Solyc09g091000.4",1
"304","Solyc09g091070.3",1
"305","Solyc10g005100.3",1
"306","Solyc10g005390.4",1
"307","Solyc10g005480.3",1
"308","Solyc10g005540.4",1
"309","Solyc10g005880.3",1
"310","Solyc10g006150.3",1
"311","Solyc10g007150.4",1
"312","Solyc10g007340.3",1
"313","Solyc10g009080.4",1
"314","Solyc10g024370.3",1
"315","Solyc10g051373.1",1
"316","Solyc10g054480.3",1
"317","Solyc10g078720.2",1
"318","Solyc10g079410.2",1
"319","Solyc10g079770.3",1
"320","Solyc10g080610.1",1
"321","Solyc10g080670.2",1
"322","Solyc10g083880.2",1
"323","Solyc10g083920.2",1
"324","Solyc10g084100.2",1
"325","Solyc10g085580.3",1
"326","Solyc10g150143.1",1
"327","Solyc11g005480.2",1
"328","Solyc11g006190.3",1
"329","Solyc11g006270.2",1
"330","Solyc11g006730.1",1
"331","Solyc11g006740.3",1
"332","Solyc11g006750.1",1
"333","Solyc11g008440.3",1
"334","Solyc11g010440.3",1
"335","Solyc11g010470.2",1
"336","Solyc11g012385.1",1
"337","Solyc11g012980.1",1
"338","Solyc11g017140.3",1
"339","Solyc11g040065.1",1
"340","Solyc11g044900.2",1
"341","Solyc11g044910.2",1
"342","Solyc11g065020.3",1
"343","Solyc11g069180.2",1
"344","Solyc11g069770.2",1
"345","Solyc11g071740.2",1
"346","Solyc12g005390.2",1
"347","Solyc12g005860.2",1
"348","Solyc12g005870.3",1
"349","Solyc12g006770.1",1
"350","Solyc12g007060.1",1
"351","Solyc12g008650.2",1
"352","Solyc12g008830.3",1
"353","Solyc12g009080.2",1
"354","Solyc12g010900.1",1
"355","Solyc12g014090.2",1
"356","Solyc12g014190.2",1
"357","Solyc12g015840.3",1
"358","Solyc12g036860.3",1
"359","Solyc12g042460.2",1
"360","Solyc12g042830.3",1
"361","Solyc12g042840.2",1
"362","Solyc12g049250.2",1
"363","Solyc12g049360.2",1
"364","Solyc12g049530.2",1
"365","Solyc12g049540.3",1
"366","Solyc12g077360.1",1
"367","Solyc12g088200.3",1
"368","Solyc12g088400.1",1
"369","Solyc12g089300.2",1
"370","Solyc12g094580.3",1
"371","Solyc12g096400.2",1
"372","Solyc12g096630.2",1
"373","Solyc12g096960.2",1
"374","Solyc12g098110.1",1
"375","Solyc12g098310.2",1
"376","Solyc12g098820.2",1
"377","Solyc12g100250.3",1
"378","novel.1338",2
"379","novel.2419",2
"380","novel.2804",2
"381","novel.2806",2
"382","novel.3147",2
"383","novel.3467",2
"384","novel.3757",2
"385","novel.4229",2
"386","novel.4637",2
"387","novel.5063",2
"388","novel.5907",2
"389","novel.6750",2
"390","Solyc01g006930.3",2
"391","Solyc01g007750.3",2
"392","Solyc01g008220.3",2
"393","Solyc01g008520.3",2
"394","Solyc01g009340.4",2
"395","Solyc01g010050.3",2
"396","Solyc01g028810.3",2
"397","Solyc01g066290.2",2
"398","Solyc01g067295.1",2
"399","Solyc01g067840.2",2
"400","Solyc01g073700.3",2
"401","Solyc01g086650.3",2
"402","Solyc01g087410.4",2
"403","Solyc01g089950.3",2
"404","Solyc01g094940.4",2
"405","Solyc01g095330.2",2
"406","Solyc01g097470.4",2
"407","Solyc01g098110.4",2
"408","Solyc01g100010.3",2
"409","Solyc01g104710.3",2
"410","Solyc01g105090.3",2
"411","Solyc01g105200.2",2
"412","Solyc01g105310.3",2
"413","Solyc01g105475.1",2
"414","Solyc01g106680.4",2
"415","Solyc01g107390.4",2
"416","Solyc01g109230.3",2
"417","Solyc01g109970.3",2
"418","Solyc01g111740.3",2
"419","Solyc01g150126.1",2
"420","Solyc02g005003.1",2
"421","Solyc02g067040.3",2
"422","Solyc02g068260.3",2
"423","Solyc02g068290.2",2
"424","Solyc02g069030.3",2
"425","Solyc02g069280.2",2
"426","Solyc02g071110.3",2
"427","Solyc02g071580.4",2
"428","Solyc02g071790.3",2
"429","Solyc02g072220.1",2
"430","Solyc02g078380.3",2
"431","Solyc02g081900.4",2
"432","Solyc02g082060.2",2
"433","Solyc02g082680.4",2
"434","Solyc02g082920.4",2
"435","Solyc02g083310.3",2
"436","Solyc02g084630.3",2
"437","Solyc02g085400.3",2
"438","Solyc02g088320.4",2
"439","Solyc02g091725.1",2
"440","Solyc02g092450.3",2
"441","Solyc02g150140.1",2
"442","Solyc03g006070.3",2
"443","Solyc03g007480.3",2
"444","Solyc03g019830.4",2
"445","Solyc03g020040.3",2
"446","Solyc03g031730.3",2
"447","Solyc03g033980.4",2
"448","Solyc03g044190.3",2
"449","Solyc03g071590.3",2
"450","Solyc03g071700.1",2
"451","Solyc03g083990.1",2
"452","Solyc03g083993.1",2
"453","Solyc03g083994.1",2
"454","Solyc03g094040.4",2
"455","Solyc03g096830.4",2
"456","Solyc03g096850.4",2
"457","Solyc03g097380.4",2
"458","Solyc03g097590.4",2
"459","Solyc03g097600.3",2
"460","Solyc03g112210.1",2
"461","Solyc03g113870.1",2
"462","Solyc03g113890.1",2
"463","Solyc03g120850.4",2
"464","Solyc03g121320.3",2
"465","Solyc03g121380.3",2
"466","Solyc03g123750.3",2
"467","Solyc04g007460.4",2
"468","Solyc04g007790.3",2
"469","Solyc04g008500.4",2
"470","Solyc04g009457.1",2
"471","Solyc04g011560.4",2
"472","Solyc04g011870.1",2
"473","Solyc04g012160.4",2
"474","Solyc04g014930.3",2
"475","Solyc04g025040.1",2
"476","Solyc04g054930.3",2
"477","Solyc04g058100.3",2
"478","Solyc04g058150.3",2
"479","Solyc04g064545.1",2
"480","Solyc04g064550.1",2
"481","Solyc04g071523.1",2
"482","Solyc04g074880.2",2
"483","Solyc04g078800.3",2
"484","Solyc04g080490.4",2
"485","Solyc04g081810.4",2
"486","Solyc05g005970.3",2
"487","Solyc05g007910.3",2
"488","Solyc05g009350.4",2
"489","Solyc05g014480.4",2
"490","Solyc05g018510.3",2
"491","Solyc05g025900.3",2
"492","Solyc05g046130.4",2
"493","Solyc05g046270.3",2
"494","Solyc05g046300.3",2
"495","Solyc05g051060.3",2
"496","Solyc05g053870.3",2
"497","Solyc06g007610.2",2
"498","Solyc06g007960.4",2
"499","Solyc06g008760.1",2
"500","Solyc06g008990.1",2
"501","Solyc06g048740.3",2
"502","Solyc06g048750.3",2
"503","Solyc06g065100.3",2
"504","Solyc06g068750.3",2
"505","Solyc06g071220.1",2
"506","Solyc06g072630.4",2
"507","Solyc06g074390.3",2
"508","Solyc06g074540.4",2
"509","Solyc06g074750.1",2
"510","Solyc06g082240.2",2
"511","Solyc06g150129.1",2
"512","Solyc07g005890.3",2
"513","Solyc07g007705.1",2
"514","Solyc07g008200.3",2
"515","Solyc07g014680.4",2
"516","Solyc07g043600.4",2
"517","Solyc07g052870.2",2
"518","Solyc07g054340.1",2
"519","Solyc07g054770.1",2
"520","Solyc07g054790.1",2
"521","Solyc07g055120.4",2
"522","Solyc07g055140.3",2
"523","Solyc08g006590.2",2
"524","Solyc08g007120.3",2
"525","Solyc08g007820.1",2
"526","Solyc08g061560.3",2
"527","Solyc08g062210.3",2
"528","Solyc08g066620.3",2
"529","Solyc08g066720.3",2
"530","Solyc08g075880.4",2
"531","Solyc08g076520.3",2
"532","Solyc08g077430.3",2
"533","Solyc08g077820.4",2
"534","Solyc08g078345.1",2
"535","Solyc08g079310.4",2
"536","Solyc08g079860.2",2
"537","Solyc08g081620.4",2
"538","Solyc08g083360.3",2
"539","Solyc08g150139.1",2
"540","Solyc09g007710.3",2
"541","Solyc09g007850.3",2
"542","Solyc09g007980.1",2
"543","Solyc09g008830.3",2
"544","Solyc09g009450.2",2
"545","Solyc09g010350.4",2
"546","Solyc09g018220.3",2
"547","Solyc09g057580.4",2
"548","Solyc09g063030.4",2
"549","Solyc09g063040.1",2
"550","Solyc09g063070.3",2
"551","Solyc09g063140.4",2
"552","Solyc09g064230.3",2
"553","Solyc09g065890.4",2
"554","Solyc09g072750.2",2
"555","Solyc09g072770.1",2
"556","Solyc09g074410.4",2
"557","Solyc09g075560.1",2
"558","Solyc09g075920.1",2
"559","Solyc09g082230.1",2
"560","Solyc09g082870.3",2
"561","Solyc09g089690.3",2
"562","Solyc09g090780.1",2
"563","Solyc09g090890.3",2
"564","Solyc09g092480.1",2
"565","Solyc09g092550.4",2
"566","Solyc09g097850.1",2
"567","Solyc10g005090.3",2
"568","Solyc10g017510.3",2
"569","Solyc10g054870.3",2
"570","Solyc10g076250.2",2
"571","Solyc10g079300.2",2
"572","Solyc10g079870.3",2
"573","Solyc10g080340.3",2
"574","Solyc10g080940.3",2
"575","Solyc11g005270.1",2
"576","Solyc11g005340.3",2
"577","Solyc11g013390.3",2
"578","Solyc11g020730.1",2
"579","Solyc11g040050.3",2
"580","Solyc11g067070.1",2
"581","Solyc11g067160.2",2
"582","Solyc11g070010.3",2
"583","Solyc12g005700.2",2
"584","Solyc12g009300.3",2
"585","Solyc12g011230.1",2
"586","Solyc12g011440.2",2
"587","Solyc12g013500.2",2
"588","Solyc12g021330.1",2
"589","Solyc12g036800.1",2
"590","Solyc12g042550.2",2
"591","Solyc12g042560.3",2
"592","Solyc12g043030.3",2
"593","Solyc12g088870.1",2
"594","Solyc12g088910.3",2
"595","Solyc12g095900.2",2
"596","Solyc12g099190.1",2
"597","Solyc12g099980.3",2
"598","novel.1445",3
"599","novel.1690",3
"600","novel.1921",3
"601","novel.1922",3
"602","novel.2136",3
"603","novel.2478",3
"604","novel.2924",3
"605","novel.4068",3
"606","novel.4123",3
"607","novel.4127",3
"608","novel.4621",3
"609","novel.5144",3
"610","novel.6772",3
"611","novel.760",3
"612","novel.834",3
"613","Solyc01g005040.3",3
"614","Solyc01g005320.2",3
"615","Solyc01g005560.3",3
"616","Solyc01g006210.4",3
"617","Solyc01g006300.3",3
"618","Solyc01g009100.4",3
"619","Solyc01g010940.3",3
"620","Solyc01g011430.4",3
"621","Solyc01g022750.3",3
"622","Solyc01g056850.3",3
"623","Solyc01g056990.3",3
"624","Solyc01g057680.4",3
"625","Solyc01g058250.2",3
"626","Solyc01g058720.4",3
"627","Solyc01g060070.3",3
"628","Solyc01g065530.3",3
"629","Solyc01g065980.4",3
"630","Solyc01g066740.3",3
"631","Solyc01g066900.4",3
"632","Solyc01g067900.3",3
"633","Solyc01g067910.3",3
"634","Solyc01g068540.3",3
"635","Solyc01g074030.3",3
"636","Solyc01g079180.4",3
"637","Solyc01g079200.4",3
"638","Solyc01g079300.4",3
"639","Solyc01g079610.3",3
"640","Solyc01g079780.3",3
"641","Solyc01g080580.4",3
"642","Solyc01g081390.4",3
"643","Solyc01g086690.2",3
"644","Solyc01g087570.2",3
"645","Solyc01g088390.3",3
"646","Solyc01g088570.3",3
"647","Solyc01g088620.3",3
"648","Solyc01g091000.4",3
"649","Solyc01g091340.3",3
"650","Solyc01g094790.3",3
"651","Solyc01g095720.3",3
"652","Solyc01g095930.4",3
"653","Solyc01g096420.3",3
"654","Solyc01g096590.3",3
"655","Solyc01g097020.4",3
"656","Solyc01g097970.4",3
"657","Solyc01g098380.4",3
"658","Solyc01g098740.4",3
"659","Solyc01g099890.3",3
"660","Solyc01g099910.4",3
"661","Solyc01g100760.2",3
"662","Solyc01g100940.2",3
"663","Solyc01g103220.3",3
"664","Solyc01g104680.4",3
"665","Solyc01g105010.3",3
"666","Solyc01g106000.4",3
"667","Solyc01g107450.4",3
"668","Solyc01g107790.2",3
"669","Solyc01g108170.3",3
"670","Solyc01g108350.4",3
"671","Solyc01g108390.3",3
"672","Solyc01g109050.2",3
"673","Solyc01g109320.4",3
"674","Solyc01g109500.4",3
"675","Solyc01g109880.3",3
"676","Solyc01g110060.3",3
"677","Solyc01g110540.3",3
"678","Solyc01g111340.4",3
"679","Solyc01g111360.3",3
"680","Solyc01g111590.4",3
"681","Solyc01g111970.4",3
"682","Solyc02g032660.3",3
"683","Solyc02g038740.4",3
"684","Solyc02g062240.3",3
"685","Solyc02g062300.3",3
"686","Solyc02g062460.4",3
"687","Solyc02g062490.4",3
"688","Solyc02g062500.3",3
"689","Solyc02g062600.3",3
"690","Solyc02g063410.3",3
"691","Solyc02g064760.3",3
"692","Solyc02g065570.1",3
"693","Solyc02g067080.4",3
"694","Solyc02g067530.4",3
"695","Solyc02g068150.4",3
"696","Solyc02g068315.1",3
"697","Solyc02g069060.4",3
"698","Solyc02g069410.4",3
"699","Solyc02g070090.1",3
"700","Solyc02g070280.3",3
"701","Solyc02g070430.3",3
"702","Solyc02g072400.1",3
"703","Solyc02g077110.3",3
"704","Solyc02g077470.4",3
"705","Solyc02g077480.1",3
"706","Solyc02g077880.3",3
"707","Solyc02g078570.3",3
"708","Solyc02g078600.3",3
"709","Solyc02g079415.1",3
"710","Solyc02g079450.1",3
"711","Solyc02g079480.1",3
"712","Solyc02g080120.3",3
"713","Solyc02g080520.4",3
"714","Solyc02g080550.1",3
"715","Solyc02g080560.1",3
"716","Solyc02g081430.3",3
"717","Solyc02g082120.3",3
"718","Solyc02g084640.4",3
"719","Solyc02g084710.3",3
"720","Solyc02g084850.3",3
"721","Solyc02g084990.3",3
"722","Solyc02g085220.4",3
"723","Solyc02g085720.1",3
"724","Solyc02g085870.3",3
"725","Solyc02g086760.1",3
"726","Solyc02g087330.3",3
"727","Solyc02g087800.3",3
"728","Solyc02g088120.4",3
"729","Solyc02g088390.4",3
"730","Solyc02g089350.3",3
"731","Solyc02g089880.4",3
"732","Solyc02g090180.3",3
"733","Solyc02g091000.4",3
"734","Solyc02g091070.3",3
"735","Solyc02g091080.2",3
"736","Solyc02g091250.1",3
"737","Solyc02g091680.4",3
"738","Solyc02g091690.3",3
"739","Solyc02g092110.3",3
"740","Solyc02g092120.3",3
"741","Solyc02g092210.1",3
"742","Solyc02g092475.1",3
"743","Solyc02g092510.3",3
"744","Solyc02g092770.3",3
"745","Solyc02g092820.4",3
"746","Solyc02g092845.1",3
"747","Solyc02g093740.3",3
"748","Solyc02g093860.3",3
"749","Solyc02g093960.3",3
"750","Solyc02g094030.3",3
"751","Solyc03g005020.3",3
"752","Solyc03g005220.4",3
"753","Solyc03g006080.4",3
"754","Solyc03g006220.4",3
"755","Solyc03g006430.3",3
"756","Solyc03g007460.3",3
"757","Solyc03g007700.1",3
"758","Solyc03g013440.4",3
"759","Solyc03g019670.3",3
"760","Solyc03g019870.4",3
"761","Solyc03g025370.3",3
"762","Solyc03g026050.3",3
"763","Solyc03g033720.4",3
"764","Solyc03g043860.2",3
"765","Solyc03g043895.1",3
"766","Solyc03g044100.4",3
"767","Solyc03g058920.3",3
"768","Solyc03g065250.4",3
"769","Solyc03g078090.4",3
"770","Solyc03g078690.4",3
"771","Solyc03g078700.2",3
"772","Solyc03g078720.4",3
"773","Solyc03g078770.3",3
"774","Solyc03g078780.3",3
"775","Solyc03g080020.4",3
"776","Solyc03g080110.3",3
"777","Solyc03g080170.3",3
"778","Solyc03g082550.3",3
"779","Solyc03g082920.4",3
"780","Solyc03g083400.3",3
"781","Solyc03g083460.3",3
"782","Solyc03g083620.1",3
"783","Solyc03g093080.3",3
"784","Solyc03g093240.4",3
"785","Solyc03g093390.4",3
"786","Solyc03g095310.3",3
"787","Solyc03g096380.3",3
"788","Solyc03g096545.1",3
"789","Solyc03g096670.3",3
"790","Solyc03g097650.3",3
"791","Solyc03g097690.3",3
"792","Solyc03g097750.4",3
"793","Solyc03g097820.2",3
"794","Solyc03g097840.3",3
"795","Solyc03g098740.1",3
"796","Solyc03g110990.1",3
"797","Solyc03g111100.1",3
"798","Solyc03g111260.3",3
"799","Solyc03g111550.4",3
"800","Solyc03g111680.3",3
"801","Solyc03g111720.3",3
"802","Solyc03g111930.4",3
"803","Solyc03g112580.3",3
"804","Solyc03g112870.3",3
"805","Solyc03g114520.3",3
"806","Solyc03g115990.3",3
"807","Solyc03g116100.3",3
"808","Solyc03g116530.3",3
"809","Solyc03g116630.3",3
"810","Solyc03g116700.4",3
"811","Solyc03g116710.3",3
"812","Solyc03g117130.3",3
"813","Solyc03g117330.4",3
"814","Solyc03g117580.3",3
"815","Solyc03g117800.4",3
"816","Solyc03g119080.4",3
"817","Solyc03g119240.3",3
"818","Solyc03g120060.2",3
"819","Solyc03g120420.3",3
"820","Solyc03g120750.3",3
"821","Solyc03g120780.3",3
"822","Solyc03g120870.3",3
"823","Solyc03g121350.3",3
"824","Solyc03g121400.1",3
"825","Solyc03g121900.1",3
"826","Solyc03g121960.3",3
"827","Solyc03g122310.4",3
"828","Solyc03g123500.4",3
"829","Solyc03g123620.4",3
"830","Solyc04g005380.3",3
"831","Solyc04g005420.4",3
"832","Solyc04g007170.3",3
"833","Solyc04g007480.1",3
"834","Solyc04g007630.2",3
"835","Solyc04g007990.1",3
"836","Solyc04g008430.1",3
"837","Solyc04g008730.3",3
"838","Solyc04g009840.4",3
"839","Solyc04g012120.3",3
"840","Solyc04g014490.1",3
"841","Solyc04g015560.4",3
"842","Solyc04g016420.3",3
"843","Solyc04g026030.3",3
"844","Solyc04g026100.1",3
"845","Solyc04g040180.3",3
"846","Solyc04g045620.3",3
"847","Solyc04g049450.3",3
"848","Solyc04g050625.1",3
"849","Solyc04g050790.3",3
"850","Solyc04g054910.4",3
"851","Solyc04g054950.3",3
"852","Solyc04g055200.3",3
"853","Solyc04g056370.3",3
"854","Solyc04g063210.3",3
"855","Solyc04g071760.3",3
"856","Solyc04g072920.4",3
"857","Solyc04g073940.4",3
"858","Solyc04g074900.3",3
"859","Solyc04g076860.3",3
"860","Solyc04g077570.1",3
"861","Solyc04g077740.1",3
"862","Solyc04g078140.3",3
"863","Solyc04g078195.1",3
"864","Solyc04g079640.3",3
"865","Solyc04g080580.3",3
"866","Solyc04g080740.1",3
"867","Solyc04g080940.4",3
"868","Solyc04g081220.3",3
"869","Solyc04g081350.3",3
"870","Solyc04g081370.2",3
"871","Solyc04g081770.4",3
"872","Solyc04g081870.4",3
"873","Solyc04g081900.4",3
"874","Solyc04g082380.4",3
"875","Solyc04g082590.3",3
"876","Solyc04g150111.1",3
"877","Solyc04g150161.1",3
"878","Solyc04g150172.1",3
"879","Solyc05g005170.4",3
"880","Solyc05g006310.3",3
"881","Solyc05g006830.3",3
"882","Solyc05g006990.3",3
"883","Solyc05g007830.3",3
"884","Solyc05g008010.3",3
"885","Solyc05g008480.4",3
"886","Solyc05g008895.1",3
"887","Solyc05g009180.1",3
"888","Solyc05g009410.3",3
"889","Solyc05g009430.3",3
