TF classification,CC_1,CC_10,CC_11,CC_12,CC_13,CC_14,CC_15,CC_16,CC_17,CC_18,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC_8,CC_9,DD_1,DD_10,DD_11,DD_12,DD_13,DD_14,DD_15,DD_16,DD_17,DD_18,DD_2,DD_3,DD_4,DD_5,DD_6,DD_7,DD_8,DD_9
SBP,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SRS,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCP,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
TUB,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tify,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Trihelix,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
WRKY,0.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,0.0,1.0,7.0,0.0,0.0,4.0,3.0,0.0,2.0,14.0,0.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
bHLH,6.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,6.0,4.0,3.0,1.0,2.0,1.0,0.0,6.0,3.0,0.0,1.0,2.0,3.0,3.0,5.0,1.0,3.0,5.0,2.0,1.0,0.0,3.0,1.0,4.0,3.0,3.0,5.0,3.0
bZIP,1.0,0.0,0.0,2.0,0.0,2.0,4.0,1.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,1.0
zf-HD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
