	Gene	TF	corr	absCorr
979	Solyc09g098590.4	Solyc04g077490.3	0.22352579644561366	0.22352579644561366
980	Solyc09g098590.4	Solyc01g067560.3	-0.3893361647487054	0.3893361647487054
981	Solyc09g098590.4	Solyc10g080770.3	-0.48778363605207115	0.48778363605207115
982	Solyc09g098590.4	Solyc02g063430.4	0.1849136193096016	0.1849136193096016
983	Solyc09g098590.4	Solyc02g076810.4	-0.5026129929741847	0.5026129929741847
984	Solyc09g098590.4	Solyc12g005960.3	-0.4452213595916681	0.4452213595916681
985	Solyc09g098590.4	Solyc02g065350.3	0.0810907962185706	0.0810907962185706
986	Solyc09g098590.4	Solyc08g005050.4	-0.048798636996065445	0.048798636996065445
987	Solyc09g098590.4	Solyc06g073640.4	0.22421023360887185	0.22421023360887185
988	Solyc09g098590.4	Solyc02g078130.3	0.4023499675185401	0.4023499675185401
989	Solyc09g098590.4	Solyc07g026680.2	-0.26052444856315715	0.26052444856315715
991	Solyc09g098590.4	Solyc08g007170.1	0.14515109582605132	0.14515109582605132
993	Solyc09g098590.4	Solyc10g055760.2	0.1257326762589057	0.1257326762589057
994	Solyc09g098590.4	Solyc08g075090.4	0.15748048822865024	0.15748048822865024
995	Solyc09g098590.4	Solyc04g078550.3	0.2530929789104114	0.2530929789104114
996	Solyc09g098590.4	Solyc09g014250.3	0.06657607994774349	0.06657607994774349
997	Solyc09g098590.4	Solyc09g065820.4	0.4144730681718659	0.4144730681718659
998	Solyc09g098590.4	Solyc04g078770.4	0.4028310147428159	0.4028310147428159
999	Solyc09g098590.4	Solyc05g050330.3	-0.3512876088904844	0.3512876088904844
1000	Solyc09g098590.4	Solyc11g005920.3	-0.41534616778511557	0.41534616778511557
1001	Solyc09g098590.4	Solyc03g123500.4	0.13514305665118517	0.13514305665118517
1002	Solyc09g098590.4	Solyc10g005010.4	0.17389786571529273	0.17389786571529273
1003	Solyc09g098590.4	Solyc05g009460.3	0.0883103474302525	0.0883103474302525
1004	Solyc09g098590.4	Solyc05g052610.3	-0.42652338981996535	0.42652338981996535
1005	Solyc09g098590.4	Solyc06g076770.3	0.3877902689234187	0.3877902689234187
1006	Solyc09g098590.4	Solyc04g007000.2	-0.49169423222831976	0.49169423222831976
1007	Solyc09g098590.4	Solyc07g053590.4	0.35085853717212984	0.35085853717212984
1008	Solyc09g098590.4	Solyc02g092050.3	0.4171013841076306	0.4171013841076306
1009	Solyc09g098590.4	Solyc02g084350.3	0.15210963498390448	0.15210963498390448
1010	Solyc09g098590.4	Solyc06g053610.3	0.11464848206870613	0.11464848206870613
1011	Solyc09g098590.4	Solyc08g079270.3	0.23177338319173957	0.23177338319173957
1013	Solyc09g098590.4	Solyc11g006720.2	-0.2794875321964908	0.2794875321964908
1014	Solyc09g098590.4	Solyc03g096350.3	0.09568651581999095	0.09568651581999095
1015	Solyc09g098590.4	Solyc12g014610.2	-0.47028449166825326	0.47028449166825326
1016	Solyc09g098590.4	Solyc12g098520.2	-0.368588932070173	0.368588932070173
1017	Solyc09g098590.4	Solyc04g015500.3	-0.3353243779079965	0.3353243779079965
1018	Solyc09g098590.4	Solyc04g008870.3	-0.13499663765873487	0.13499663765873487
1019	Solyc09g098590.4	Solyc11g008000.2	0.22173448894168757	0.22173448894168757
1020	Solyc09g098590.4	Solyc12g096200.2	-0.38091471127738125	0.38091471127738125
1022	Solyc09g098590.4	Solyc01g097330.3	-0.5167984649994695	0.5167984649994695
1023	Solyc09g098590.4	Solyc04g045430.4	-0.3722967093546019	0.3722967093546019
1024	Solyc09g098590.4	Solyc07g062680.3	0.2345662450042861	0.2345662450042861
1025	Solyc09g098590.4	Solyc08g068320.3	0.548133768028416	0.548133768028416
1026	Solyc09g098590.4	Solyc05g009230.3	-0.35061688541791436	0.35061688541791436
1027	Solyc09g098590.4	Solyc01g091910.4	0.15290102616111778	0.15290102616111778
1029	Solyc09g098590.4	Solyc04g080740.1	0.3098778258654723	0.3098778258654723
1030	Solyc09g098590.4	Solyc08g005270.3	-0.4108920893603828	0.4108920893603828
1031	Solyc09g098590.4	Solyc03g095980.3	0.08536060213787006	0.08536060213787006
1033	Solyc09g098590.4	Solyc01g090340.3	0.5796082563436492	0.5796082563436492
1034	Solyc09g098590.4	Solyc01g109880.3	0.5413311119021443	0.5413311119021443
1035	Solyc09g098590.4	Solyc02g077450.3	-0.27992008007151	0.27992008007151
1036	Solyc09g098590.4	Solyc06g071230.3	-0.19523201136020954	0.19523201136020954
1037	Solyc09g098590.4	Solyc07g018010.3	0.25282808103827664	0.25282808103827664
1038	Solyc09g098590.4	Solyc06g071690.3	-0.05884083364641298	0.05884083364641298
1039	Solyc09g098590.4	Solyc06g007530.2	0.4821037432598299	0.4821037432598299
1040	Solyc09g098590.4	Solyc01g090560.4	0.06525513318856961	0.06525513318856961
1042	Solyc09g098590.4	Solyc11g010710.2	0.03507989014904733	0.03507989014904733
1043	Solyc09g098590.4	Solyc06g083590.4	-0.25749602084932416	0.25749602084932416
1044	Solyc09g098590.4	Solyc02g062950.3	-0.47939878551740667	0.47939878551740667
1047	Solyc09g098590.4	Solyc10g055410.2	0.36871242491249434	0.36871242491249434
1048	Solyc09g098590.4	Solyc01g008980.3	-0.2795840696971393	0.2795840696971393
1049	Solyc09g098590.4	Solyc05g009880.3	0.49424413531044115	0.49424413531044115
1050	Solyc09g098590.4	Solyc09g008850.3	-0.4724874145209298	0.4724874145209298
1051	Solyc09g098590.4	Solyc03g122030.1	-0.43966384143971415	0.43966384143971415
1052	Solyc09g098590.4	Solyc04g074810.4	0.026049622025671987	0.026049622025671987
1053	Solyc09g098590.4	Solyc12g008690.3	0.3605779219425761	0.3605779219425761
1054	Solyc09g098590.4	Solyc03g113620.3	-0.051309480787937	0.051309480787937
