,Solyc08g042000.3,Solyc09g092130.3,Solyc06g072620.4,Solyc06g072630.4,Solyc03g005880.3,Solyc03g097600.3,Solyc06g060590.3,Solyc03g007360.3,Solyc03g097590.4
Solyc10g055760.2,0.29447749617947916,0.012509263234033964,-0.36690789965786447,-0.37846013371495785,-0.32716116324341143,-0.33804590888139247,-0.06362967622654114,0.017190749255078158,-0.16827282453842163
Solyc07g053590.4,0.44038512625369886,-0.16506338568307385,-0.34894234729535245,-0.3204170837078729,-0.39238056279409844,-0.3472689301737516,0.31200188463414086,0.29366062281743194,-0.06071403417409083
Solyc08g079270.3,0.35394620993534054,-0.19207774658432894,-0.3173902889668767,-0.28254956085763044,-0.3740378484915521,-0.29472428717700505,0.3087876035151639,0.36862907798921885,0.029443836190028758
Solyc06g071690.3,0.3931266434997176,-0.051035721628715114,-0.28319032073621797,-0.2883669296593115,-0.3499636522872083,-0.25250083774782645,0.0594015125608375,0.26319706770937024,0.007476898149018944
Solyc06g053610.3,0.36108827761527373,0.4260348264512796,-0.4692710271043087,-0.4351093865002049,-0.39912962349665804,-0.3507069467750499,-0.2682731026537406,-0.24484054328200827,-0.4068941852488701
Solyc05g009880.3,0.6224058944168369,0.22473101187904684,-0.5314773046557413,-0.5281792149448165,-0.5173899704663804,-0.5089043016533014,-0.16202071320365088,-0.1352577281529723,-0.41116871494899965
Solyc01g090340.3,0.43584166605546504,-0.19717477741373038,-0.45161474667688595,-0.4501731339928267,-0.28062147027181145,-0.4611824609903539,0.12241809477201784,0.5138470297390278,-0.21626196986116977
Solyc02g063430.4,0.538588074159622,-0.1413042234487296,-0.5113104610152042,-0.5161663020642934,-0.41563004474827947,-0.5188611558816681,0.1963534556958893,0.319569823002036,-0.14096032058493932
